"time","count"
13.4655172,10
12.4655172,10
11.4655172,41
10.4655172,3
9.4655172,6
8.4655172,65
7.4655172,20
6.4655172,19
5.4655172,44
4.4655172,41
3.4655172,26
2.4655172,50
1.4655172,77
0.465517200000001,60
-0.534482799999999,79
-1.5344828,13
-2.5344828,0
-3.5344828,0
-4.5344828,57
-5.5344828,0
-6.5344828,0
-7.5344828,14
-8.5344828,0
-9.5344828,0
