date,size
20.01.20,0
21.01.20,0
22.01.20,0
23.01.20,0
24.01.20,0
25.01.20,0
26.01.20,0
27.01.20,0
28.01.20,0
29.01.20,0
30.01.20,0
31.01.20,0
01.02.20,0
02.02.20,0
03.02.20,0
04.02.20,10
05.02.20,10
06.02.20,41
07.02.20,3
08.02.20,6
09.02.20,65
10.02.20,20
11.02.20,19
12.02.20,44
13.02.20,41
14.02.20,26
15.02.20,70
16.02.20,99
17.02.20,88
18.02.20,79
19.02.20,13
20.02.20,0
21.02.20,0
22.02.20,57
23.02.20,0
24.02.20,0
25.02.20,14
26.02.20,0
27.02.20,0
